region,method,view,cell_count,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2,np3,local_direction_error_deg,angular_error_deg,radial_spearman
福建,Area-balanced,disk,74,0.6335078534031413,0.968,0.7658227848101266,125.0,191.0,121.0,4.0,70.0,0.6319253104276324,0.6315352003727006,16.134439362652337,3.1782967811885126,0.9753572750833023
福建,Area-balanced,annulus,74,0.5625,0.792,0.6578073089700996,125.0,176.0,99.0,26.0,77.0,0.5901363042423414,0.6537578034444081,20.768006443566733,1.8680986454180426,0.9658200666419843
福建,Regular Topology,disk,74,0.48372093023255813,0.832,0.6117647058823529,125.0,215.0,104.0,21.0,111.0,0.46804228788328267,0.48039073096197477,30.072022693891416,5.118493987979119,0.9641910403554238
福建,Regular Topology,annulus,74,0.526595744680851,0.792,0.6325878594249202,125.0,188.0,99.0,26.0,89.0,0.5016924128673692,0.5060322375566495,30.39007309589484,5.118493987979122,0.9558089596445758
福建,GeoDisk,disk,74,0.5968586387434555,0.912,0.7215189873417721,125.0,191.0,114.0,11.0,77.0,0.5967289643261198,0.5964237693039404,21.603840232369045,2.4943462097319964,0.9625916327286187
福建,GeoAnnulus,annulus,74,0.5689655172413793,0.792,0.6622073578595318,125.0,174.0,99.0,26.0,75.0,0.6128595258626218,0.6882970686682575,23.30744875549773,2.0308417868389474,0.9534987041836355
广西,Direct Polar,disk,142,0.775,1.0,0.8732394366197184,248.0,320.0,248.0,0.0,72.0,0.7765893787252202,0.760318609104096,13.579083895561855,0.9500400342772174,0.9720698839667975
广西,Direct Polar,annulus,142,0.6938202247191011,0.9959677419354839,0.8178807947019868,248.0,356.0,247.0,1.0,109.0,0.7082875980011113,0.7149112314542039,19.153371601486757,0.8101514395925092,0.9713489986190018
广西,Harmonic,disk,142,0.6370967741935484,0.9556451612903226,0.7645161290322581,248.0,372.0,237.0,11.0,135.0,0.6393408410716984,0.6506948295629478,12.23434242366577,1.7734788448289482,0.9307111827339577
广西,Harmonic,annulus,142,0.6096866096866097,0.8629032258064516,0.7145242070116861,248.0,351.0,214.0,34.0,137.0,0.6020327614450451,0.635947663787887,18.396530395546932,1.0250692319284789,0.9335905329312583
广西,Area-balanced,disk,142,0.59375,0.9193548387096774,0.7215189873417721,248.0,384.0,228.0,20.0,156.0,0.5915697875985784,0.6068702007015707,18.1515709546344,1.6832978133036383,0.9938724745437362
广西,Area-balanced,annulus,142,0.5482093663911846,0.8024193548387096,0.6513911620294599,248.0,363.0,199.0,49.0,164.0,0.5663697309330785,0.6166413277858417,21.454170773344,1.151249798430538,0.9888556154663437
