region,variant,view,cell_count,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2,np3,local_direction_error_deg,angular_error_deg,radial_spearman,area_cv,overlap_ratio,gap_ratio,invalid_polygon_count
福建,No topology optimization,disk,74,0.6020942408376964,0.92,0.7278481012658228,125.0,191.0,115.0,10.0,76.0,0.601308783157787,0.5999285011464549,21.376474839092523,2.3175472845092537,0.963006293965198,0.5695454784329995,4.2407868828982674e-16,3.53398906908189e-14,0.0
福建,No topology optimization,annulus,74,0.5632183908045977,0.784,0.6555183946488293,125.0,174.0,98.0,27.0,76.0,0.6086352580354127,0.6824425709549099,23.21773513697871,1.86856091806688,0.9524028137726765,0.5431267859820156,3.673585310895937e-16,3.188299640146781e-08,0.0
福建,No angular constraint,disk,74,0.5968586387434555,0.912,0.7215189873417721,125.0,191.0,114.0,11.0,77.0,0.5967289643261198,0.5964237693039404,21.603840232369045,2.4943462097319964,0.9625916327286187,0.5701245446236336,0.0,3.5057171565292344e-14,0.0
福建,No angular constraint,annulus,74,0.5689655172413793,0.792,0.6622073578595318,125.0,174.0,99.0,26.0,75.0,0.6128595258626218,0.6882970686682575,23.307448755497735,2.0308417868389474,0.9534987041836355,0.5430829479688264,3.673585310895937e-16,3.0726474049268444e-08,0.0
福建,No radial constraint,disk,74,0.23979591836734693,0.376,0.29283489096573206,125.0,196.0,47.0,78.0,149.0,0.3593627118669183,0.46924916973003233,59.97290557618811,4.288233312133291,0.16715290633098848,0.3715999654804613,0.0,2.7423755176075462e-14,0.0
福建,No radial constraint,annulus,74,0.3333333333333333,0.464,0.3879598662207358,125.0,174.0,58.0,67.0,116.0,0.44691063226279937,0.5593890612247499,51.81646899951666,3.209798642041703,0.1726915957052943,0.46395624250185935,0.0,2.6816965579328803e-08,0.0
福建,No area balancing,disk,74,0.6073298429319371,0.928,0.7341772151898736,125.0,191.0,116.0,9.0,75.0,0.6076123997447528,0.6113917795893937,21.176996203725174,2.122773401350776,0.9693446871529062,0.6453070296876874,0.0,3.420901418871269e-14,0.0
福建,No area balancing,annulus,74,0.5747126436781609,0.8,0.6688963210702341,125.0,174.0,100.0,25.0,74.0,0.6116400478049084,0.6847894280175417,23.3902954277819,1.701693233479531,0.9625323954091075,0.6137357568448388,5.510377966343905e-16,3.4700553495576234e-08,0.0
福建,No warp,disk,74,0.5968586387434555,0.912,0.7215189873417721,125.0,191.0,114.0,11.0,77.0,0.5967289643261198,0.5964237693039404,21.532854531396975,2.4642658218872966,0.9645168456127358,0.5733889247833233,0.0,5.654382510531023e-16,0.0
福建,No warp,annulus,74,0.5689655172413793,0.792,0.6622073578595318,125.0,174.0,99.0,26.0,75.0,0.6128595258626218,0.6882970686682575,23.324578168914776,2.0160958371103317,0.9540910773787485,0.5380215274074981,0.0316445450643562,0.03164454506435748,0.0
