dataset,method,view,tolerance,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2
江西,GeoDisk-Final,disk,5e-06,0.6619718309859155,1.0,0.7966101694915254,188,284,188,0,96,0.6708418718003222
江西,GeoDisk-Final,disk,2e-05,0.6619718309859155,1.0,0.7966101694915254,188,284,188,0,96,0.6708418718003222
江西,GeoDisk-Final,disk,0.0001,0.6619718309859155,1.0,0.7966101694915254,188,284,188,0,96,0.6708418718003222
江西,GeoDisk-Final,disk,0.0005,0.6619718309859155,1.0,0.7966101694915254,188,284,188,0,96,0.6708418718003222
江西,GeoAnnulus-Final,annulus,1e-06,0.6518518518518519,0.9361702127659575,0.7685589519650656,188,270,176,12,94,0.661353850626803
江西,GeoAnnulus-Final,annulus,5e-06,0.6518518518518519,0.9361702127659575,0.7685589519650656,188,270,176,12,94,0.661353850626803
江西,GeoAnnulus-Final,annulus,2e-05,0.6518518518518519,0.9361702127659575,0.7685589519650656,188,270,176,12,94,0.661353850626803
江西,GeoAnnulus-Final,annulus,0.0001,0.6518518518518519,0.9361702127659575,0.7685589519650656,188,270,176,12,94,0.661353850626803
江西,GeoAnnulus-Final,annulus,0.0005,0.6518518518518519,0.9361702127659575,0.7685589519650656,188,270,176,12,94,0.661353850626803
广东,Direct Polar,disk,1e-06,0.6768558951965066,0.856353591160221,0.7560975609756098,181,229,155,26,74,0.6036021319915799
广东,Direct Polar,disk,5e-06,0.7098039215686275,1.0,0.8302752293577982,181,255,181,0,74,0.7156975072889246
广东,Direct Polar,disk,2e-05,0.7637130801687764,1.0,0.8660287081339713,181,237,181,0,56,0.7679044539338656
广东,Direct Polar,disk,0.0001,0.7801724137931034,1.0,0.8765133171912832,181,232,181,0,51,0.7888306236549701
广东,Direct Polar,disk,0.0005,0.776824034334764,1.0,0.8743961352657006,181,233,181,0,52,0.784654505201891
广东,Direct Polar,annulus,1e-06,0.6639344262295082,0.8950276243093923,0.7623529411764707,181,244,162,19,82,0.629369258415526
广东,Direct Polar,annulus,5e-06,0.6605839416058394,1.0,0.7956043956043957,181,274,181,0,93,0.6722198615527218
广东,Direct Polar,annulus,2e-05,0.6988416988416989,1.0,0.8227272727272728,181,259,181,0,78,0.7136013219873298
广东,Direct Polar,annulus,0.0001,0.6988416988416989,1.0,0.8227272727272728,181,259,181,0,78,0.714349185235193
广东,Direct Polar,annulus,0.0005,0.6988416988416989,1.0,0.8227272727272728,181,259,181,0,78,0.714349185235193
广东,Harmonic,disk,1e-06,0.46037735849056605,0.6740331491712708,0.547085201793722,181,265,122,59,143,0.457609921936118
广东,Harmonic,disk,5e-06,0.46037735849056605,0.6740331491712708,0.547085201793722,181,265,122,59,143,0.457609921936118
广东,Harmonic,disk,2e-05,0.46037735849056605,0.6740331491712708,0.547085201793722,181,265,122,59,143,0.457609921936118
广东,Harmonic,disk,0.0001,0.46037735849056605,0.6740331491712708,0.547085201793722,181,265,122,59,143,0.457609921936118
广东,Harmonic,disk,0.0005,0.46037735849056605,0.6740331491712708,0.547085201793722,181,265,122,59,143,0.457609921936118
广东,Harmonic,annulus,1e-06,0.4785992217898833,0.6795580110497238,0.5616438356164384,181,257,123,58,134,0.465050549028407
广东,Harmonic,annulus,5e-06,0.4785992217898833,0.6795580110497238,0.5616438356164384,181,257,123,58,134,0.465050549028407
广东,Harmonic,annulus,2e-05,0.4785992217898833,0.6795580110497238,0.5616438356164384,181,257,123,58,134,0.465050549028407
广东,Harmonic,annulus,0.0001,0.4785992217898833,0.6795580110497238,0.5616438356164384,181,257,123,58,134,0.465050549028407
广东,Harmonic,annulus,0.0005,0.4785992217898833,0.6795580110497238,0.5616438356164384,181,257,123,58,134,0.465050549028407
广东,Area-balanced,disk,1e-06,0.5551724137931034,0.8895027624309392,0.6836518046709129,181,290,161,20,129,0.5546092960604503
广东,Area-balanced,disk,5e-06,0.5551724137931034,0.8895027624309392,0.6836518046709129,181,290,161,20,129,0.5546092960604503
广东,Area-balanced,disk,2e-05,0.5551724137931034,0.8895027624309392,0.6836518046709129,181,290,161,20,129,0.5546092960604503
广东,Area-balanced,disk,0.0001,0.5551724137931034,0.8895027624309392,0.6836518046709129,181,290,161,20,129,0.5546092960604503
广东,Area-balanced,disk,0.0005,0.5551724137931034,0.8895027624309392,0.6836518046709129,181,290,161,20,129,0.5546092960604503
广东,Area-balanced,annulus,1e-06,0.48014440433212996,0.7348066298342542,0.5807860262008734,181,277,133,48,144,0.5015127716690474
广东,Area-balanced,annulus,5e-06,0.48014440433212996,0.7348066298342542,0.5807860262008734,181,277,133,48,144,0.5015127716690474
广东,Area-balanced,annulus,2e-05,0.48014440433212996,0.7348066298342542,0.5807860262008734,181,277,133,48,144,0.5015127716690474
广东,Area-balanced,annulus,0.0001,0.48014440433212996,0.7348066298342542,0.5807860262008734,181,277,133,48,144,0.5015127716690474
广东,Area-balanced,annulus,0.0005,0.48014440433212996,0.7348066298342542,0.5807860262008734,181,277,133,48,144,0.5015127716690474
广东,Regular Topology,disk,1e-06,0.4114285714285714,0.7955801104972375,0.5423728813559322,181,350,144,37,206,0.4286038456387487
