dataset,transition,bin_count,encoding_mode,cell_count,cell_identity_accuracy,geometry_centroid_drift,temporal_adjacency_jaccard,delta_sign_accuracy,delta_mae,normalized_delta_mae,delta_bias,magnitude_spearman,top10_change_jaccard,high_change_event_f1
湖北,M02-M03,9,direct_diverging_delta,130,1.0,0.0,1.0,1.0,1.0544643280824209,0.05497257951135795,-0.019905238672388685,0.8480123447462079,0.5294117647058824,0.8
湖北,M03-M04,9,derived_from_value_bins,130,1.0,0.0,1.0,1.0,2.262133049936231,0.11793219138956974,-0.30193155630006124,0.5941809939261252,0.3684210526315789,0.6909090909090909
湖北,M03-M04,9,direct_diverging_delta,130,1.0,0.0,1.0,1.0,0.9989633128134358,0.05207913504521486,0.1441486713918024,0.8165439666598427,0.23809523809523808,0.2631578947368421
湖北,M04-M05,9,derived_from_value_bins,130,1.0,0.0,1.0,0.6384615384615384,2.0300883527475175,0.10583496322672338,0.08696397025682047,0.70401420241329,0.3,0.5517241379310345
湖北,M04-M05,9,direct_diverging_delta,130,1.0,0.0,1.0,0.8923076923076924,1.1146794032597693,0.05811178291522165,0.19383433174522152,0.8356320248488766,0.7333333333333333,0.6799999999999999
湖北,M05-M06,9,derived_from_value_bins,130,1.0,0.0,1.0,1.0,1.839509532967709,0.09589948314976492,0.18225985628616245,0.834100607906243,0.3684210526315789,0.7021276595744682
湖北,M05-M06,9,direct_diverging_delta,130,1.0,0.0,1.0,1.0,1.3152012630398724,0.06856562529467242,0.5449792849365246,0.9185737522527583,0.18181818181818182,0.0
湖北,M06-M07,9,derived_from_value_bins,130,1.0,0.0,1.0,0.5153846153846153,2.0444982844390585,0.106586198801574,0.5176964191074028,0.6039949802594036,0.0,0.64
湖北,M06-M07,9,direct_diverging_delta,130,1.0,0.0,1.0,1.0,1.0313381849362822,0.05376694010845461,-0.04760049906426967,0.7055165640853911,0.23809523809523808,0.2631578947368421
湖北,M07-M08,9,derived_from_value_bins,130,1.0,0.0,1.0,0.19230769230769232,1.7589158802509977,0.0916978796776616,0.3469155177820796,0.35040602981039226,0.08333333333333333,0.41379310344827586
湖北,M07-M08,9,direct_diverging_delta,130,1.0,0.0,1.0,0.4461538461538462,1.0918909391400111,0.05692374779406844,-0.2719041522729527,0.6901945595430752,0.3684210526315789,0.8813559322033898
湖北,M08-M09,9,derived_from_value_bins,130,1.0,0.0,1.0,0.46153846153846156,2.088862025171389,0.10889902172016845,-0.5452105597365957,0.72222947712856,0.23809523809523808,0.7096774193548387
湖北,M08-M09,9,direct_diverging_delta,130,1.0,0.0,1.0,0.7692307692307693,1.0898001160195403,0.05681474653421237,0.08566462094155804,0.8782001135912412,0.5294117647058824,0.7307692307692308
湖北,M09-M10,9,derived_from_value_bins,130,1.0,0.0,1.0,0.27692307692307694,1.6938367950146518,0.08830509995775644,0.012696991848905161,0.46979723620258385,0.13043478260869565,0.6086956521739131
湖北,M09-M10,9,direct_diverging_delta,130,1.0,0.0,1.0,0.5230769230769231,1.0010184588321478,0.05218627634427288,-0.02999298907280262,0.7320479830898688,0.3,0.9523809523809523
湖北,M10-M11,9,derived_from_value_bins,130,1.0,0.0,1.0,0.9384615384615385,2.1077573137997807,0.10988409321936583,-0.2587042033009449,0.872112526868109,0.7333333333333333,0.8421052631578948
湖北,M10-M11,9,direct_diverging_delta,130,1.0,0.0,1.0,0.9615384615384616,1.3785253582158248,0.07186691180037652,-0.2588793455792643,0.9409064789428585,0.18181818181818182,0.9180327868852458
湖北,M11-M12,9,derived_from_value_bins,130,1.0,0.0,1.0,1.0,3.2151088971958415,0.16761385357642736,-1.4898707769157788,0.6969411139976681,0.23809523809523808,0.5714285714285714
湖北,M11-M12,9,direct_diverging_delta,130,1.0,0.0,1.0,1.0,2.368402613806838,0.12347236178123959,-1.8717706240409422,0.837326506337232,0.13043478260869565,0.0
